model,self_loss,self_ppl,cond_loss,cond_ppl,rouge1,rouge2,rougeL,rougeLsum,bleu,bertscore_precision,bertscore_recall,bertscore_f1,nli_ref_gen,nli_prompt_gen,nli_prompt_ref,nli_gen_ref,entity_jaccard_ref_gen,entity_recall_ref_gen,entity_precision_ref_gen,entity_jaccard_prompt_gen,entity_neg_hallucination_flag,umls_new_concepts_count,umls_hallucination_flag,composite_safe_score
base,5.1011957168579105,174.7630375667448,1.7642385770877202,14.205021235236613,0.3577777777777778,0.275,0.3577777777777778,0.3577777777777778,0.26666666666666666,0.8902909368276596,0.8952244559923808,0.8926086485385895,0.14937322305049747,0.0,0.0,0.08672256705661614,0.48333333333333334,0.5166666666666667,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.16666666666666666,0.13333333333333333,0.4002323762962802
finetuned,2.929248325030009,18.81419220889228,0.19064616064230602,1.2108237390637795,0.2966666666666667,0.2,0.2966666666666667,0.2966666666666667,0.2,0.8870803266763687,0.8807796955108642,0.8837638358275096,-0.03039122805930674,0.0,0.0,0.2145039103847618,0.31666666666666665,0.6333333333333333,0.55,0.43333333333333335,0.45,0.9,0.45,0.30021989235902835
retomaton,2.3335314373175304,10.370679110582252,0.4924428679049015,1.658651031930757,0.3788888888888889,0.3,0.3788888888888889,0.3788888888888889,0.3,0.892653105656306,0.8968670964241028,0.8946217695871989,0.18682998412599167,0.0,0.0,0.17016746267909183,0.5,0.5166666666666667,0.9666666666666667,0.9666666666666667,0.03333333333333333,0.05,0.03333333333333333,0.4314719483868944
